owner,Gender
aaron,m
actress,f
ada,f
adam,m
agnes,f
al,m
alan,m
albert,m
alex,m
alexander,m
alexandra,f
alice,f
alicia,f
alison,f
allen,m
allison,f
alyosha,m
amanda,f
amber,f
amy,f
andrea,f
andrew,m
angela,f
anita,f
ann,f
anna,f
anne,f
annette,f
annie,f
anthony,m
april,f
arthur,m
ashley,f
augustus,m
aunt,f
authoress,f
barbara,f
baron,m
baroness,f
barry,m
bella,f
ben,m
benjamin,m
beth,f
betty,f
beverly,f
bill,m
billy,m
bob,m
bobby,m
bonnie,f
boy,m
boyfriend,m
boys,m
bradley,m
brandon,m
brenda,f
brent,m
brett,m
brian,m
bride,f
brother,m
brothers,m
bruce,m
bryan,m
buck,m
bush,m
businessman,m
businesswoman,f
carl,m
carla,f
carol,f
caroline,f
carolyn,f
carrie,f
catherine,f
cathy,f
chad,m
chairman,m
chairwoman,f
charles,m
charlie,m
charlotte,f
cheryl,f
chichikov,m
cho,f
christ,m
christian,m
christina,f
christine,f
christopher,m
cindy,f
claire,f
clara,f
claude,m
claudia,f
clifford,m
clinton,m
clyde,m
colleen,f
connie,f
conrad,m
constance,f
cory,m
count,m
countess,f
cousin,m
craig,m
curtis,m
cynthia,f
dad,m
daddy,m
dan,m
daniel,m
danielle,f
darlene,f
daughter,f
dave,m
david,m
dawn,f
dean,m
deborah,f
debra,f
denise,f
dennis,m
derek,m
diana,f
diane,f
dick,m
dickie,m
don,m
donald,m
donna,f
doris,f
dorothea,m
dorothy,f
douglas,m
eddie,m
edith,f
edward,m
eileen,f
elaine,f
elizabeth,f
ellen,f
emily,f
emma,f
emperor,m
empress,f
eric,m
erica,f
erik,m
erika,f
erin,f
eugene,m
evan,m
eve,f
evelyn,f
fabrizio,m
father,m
felix,m
fellow,m
fiona,f
frances,f
francis,m
frank,m
franz,m
frau,f
fred,m
freddie,m
frederick,m
frodo,m
gabriel,m
gail,f
gary,m
gentleman,m
geoffrey,m
george,m
gerald,m
gina,f
ginny,f
giordino,m
girl,f
girlfriend,f
girls,f
glenn,m
gloria,f
goddess,f
gordon,m
grace,f
grandfather,m
grandma,f
grandmother,f
grandpa,m
greg,m
gregory,m
gretchen,f
guy,m
hal,m
hannah,f
hans,m
harold,m
harry,m
he,m
heather,f
heidi,f
heiress,f
helen,f
henry,m
her,f
hermione,f
heroine,f
herr,m
hester,f
him,m
himself,m
his,m
holly,f
hostess,f
howard,m
hugh,m
husband,m
ian,m
inman,m
irene,f
isabel,f
ivan,m
jack,m
jacob,m
jacqueline,f
jake,m
james,m
jamie,m
jane,f
janet,f
janice,f
jason,m
jay,m
jean,f
jeanette,f
jeanne,f
jeff,m
jeffery,m
jeffrey,m
jennifer,f
jenny,f
jeremy,m
jerry,m
jesse,m
jessica,f
jesus,m
jill,f
jim,m
jimmy,m
joan,f
joanne,f
joe,m
joel,m
john,m
johnny,m
johnson,m
jon,m
jonathan,m
jose,m
joseph,m
joshua,m
joyce,f
juan,m
judith,f
judy,f
julia,f
julie,f
justin,m
karen,f
karl,m
kate,f
katherine,f
kathleen,f
kathryn,f
kathy,f
katie,f
keith,m
kenneth,m
kevin,m
kimberly,f
king,m
kristen,f
kristin,f
kristina,f
kristine,f
kurt,m
kyle,m
lady,f
laila,f
larry,m
laura,f
lauren,f
laurie,f
lawrence,m
leah,f
liesel,f
lily,f
linda,f
lindsay,f
lisa,f
lois,f
lord,m
lori,f
louis,m
lucas,m
lucien,m
lucy,f
luke,m
lydia,f
ma,f
mabel,f
madame,f
maggie,f
mama,f
mammy,f
man,m
marc,m
marcia,f
margaret,f
margarita,f
maria,f
mariam,f
marian,f
marie,f
marilyn,f
mario,m
marion,f
marjorie,f
mark,m
martha,f
martin,m
mary,f
master,m
matthew,m
maureen,f
max,m
meg,f
megan,f
melanie,f
melinda,f
melissa,f
men,m
michael,m
michele,f
michelle,f
mickey,m
mike,m
mildred,f
miss,f
mister,m
mistress,f
molly,f
mom,f
mommy,f
monica,f
monk,f
monsieur,m
moses,m
mother,f
mr,m
mrs,f
ms,f
mum,f
murderess,f
nancy,f
natalie,f
natasha,f
nathan,m
ned,m
neil,m
nephew,m
nicholas,m
nick,m
nicola,f
nicole,f
niece,f
nora,f
norma,f
norman,m
nun,f
oscar,m
oskar,m
owen,m
pa,m
pamela,f
patricia,f
patrick,m
paul,m
paula,f
pavel,m
peggy,f
pete,m
peter,m
philip,m
phillip,m
phyllis,f
pickwick,m
pierre,m
poetess,f
policeman,m
policewoman,f
priest,m
prince,m
princess,f
queen,f
rachel,f
ralph,m
randall,m
randy,m
ray,m
raymond,m
rebecca,f
renee,f
rhett,m
richard,m
rita,f
robert,m
roberta,f
rodney,m
roger,m
ron,m
ronald,m
rose,f
roy,m
rubashov,m
russell,m
ruth,f
ryan,m
sally,f
samantha,f
samuel,m
sandra,f
sara,f
sarah,f
scarlett,f
scott,m
sean,m
ser,m
seth,m
sharon,f
she,f
sheila,f
shelley,f
sherlock,m
shirley,f
silas,m
simon,m
sir,m
sister,f
slothrop,m
smith,m
son,m
sophie,f
stanley,m
stephanie,f
stephen,m
steve,m
steven,m
stuart,m
sue,f
susan,f
suzanne,f
sylvia,f
tamara,f
tara,f
teresa,f
terri,f
terry,m
theodore,m
theresa,f
thomas,m
tiffany,f
timothy,m
tina,f
toby,m
todd,m
tom,m
tommy,m
tony,m
travis,m
tyler,m
uncle,m
valerie,f
vicki,f
victor,m
victoria,f
vincent,m
virginia,f
waitress,f
walter,m
washington,m
wayne,m
wendy,f
wife,f
william,m
willie,m
witch,f
wizard,m
woman,f
women,f
yossarian,m
zachary,m
